"Area","Sex","1997","Change_9717","Perc_change_9717","Direction_9717","2002","2007","Change_0717","Perc_change_0717","Direction_0717","2012","Change_1217","Perc_change_1217","Direction_1217","2017"
"Suffolk","Female",11.81861796,1.1920552,10.0862486970515,"Increase",12.08525518,12.55826389,0.452409270000004,3.60248258806102,"Increase",12.86663605,0.144037109999999,1.11946206794277,"Increase",13.01067316
"Suffolk","Male",9.48790081,1.40027878000001,14.7585731347882,"Increase",9.88953068000001,10.4098765,0.478303089999997,4.59470474985939,"Increase",10.82368591,0.0644936800000124,0.595856906198902,"Increase",10.88817959
"Warwickshire","Both",10.5515236,1.41795843,13.4384235277643,"Increase",10.94989534,11.42208715,0.547394879999985,4.79242429874109,"Increase",11.83626303,0.133218999999997,1.12551571101742,"Increase",11.96948203
"Warwickshire","Female",11.68222814,1.36683335000001,11.700108349365,"Increase",12.09420443,12.5059541,0.543107390000003,4.34279052727375,"Increase",12.94890216,0.100159329999997,0.773496693097237,"Increase",13.04906149
"Warwickshire","Male",9.38920747,1.49734156,15.9474754901757,"Increase",9.76810612,10.29734315,0.589205879999994,5.72192138707152,"Increase",10.69753002,0.189019009999996,1.76694068300446,"Increase",10.88654903
"West Sussex","Both",10.70856252,1.15396636000001,10.7761089113949,"Increase",11.05418352,11.47783678,0.384692099999995,3.35160803706772,"Increase",11.81071387,0.0518150099999986,0.438711923515581,"Increase",11.86252888
"West Sussex","Female",11.80686539,1.11377439,9.43327761611758,"Increase",12.08545673,12.52318164,0.397458140000012,3.17377924736395,"Increase",12.83516184,0.0854779400000041,0.665966982462327,"Increase",12.92063978
"West Sussex","Male",9.52150306,1.24940874000001,13.1219696315469,"Increase",9.93281868,10.35541528,0.415496520000005,4.01235980175973,"Increase",10.72197526,0.0489365399999997,0.456413476186287,"Increase",10.7709118
"Worcestershire","Both",10.66017625,1.33417801,12.5155342530102,"Increase",11.03119678,11.46337666,0.530977599999986,4.63194759928603,"Increase",11.86196632,0.132387940000001,1.116070779739,"Increase",11.99435426
"Worcestershire","Female",11.80096141,1.33240191,11.2906217019822,"Increase",12.16054593,12.6024145,0.530948820000006,4.21307218549276,"Increase",12.95494373,0.178419590000004,1.3772316863626,"Increase",13.13336332
"Worcestershire","Male",9.46371246,1.38823317000001,14.6690125663434,"Increase",9.85539773000001,10.28747314,0.56447249,5.48698871256542,"Increase",10.73134718,0.120598450000003,1.1237959966924,"Increase",10.85194563
