"measure","Area","Sex","age","Year","val","upper","lower"
"HALE (Healthy life expectancy)","Essex","Male","<1 year",2016,69.19995389,71.82078659,66.11149288
"HALE (Healthy life expectancy)","Essex","Female","<1 year",2016,70.29641245,73.45576134,66.72324703
"HALE (Healthy life expectancy)","Essex","Both","<1 year",2016,69.76622022,72.58912453,66.45040293
"HALE (Healthy life expectancy)","Cambridgeshire","Male","<1 year",2016,69.90081434,72.58469641,66.67337223
"HALE (Healthy life expectancy)","Cambridgeshire","Female","<1 year",2016,71.17104007,74.3006989,67.4667201
"HALE (Healthy life expectancy)","Cambridgeshire","Both","<1 year",2016,70.55880655,73.42173278,67.11504829
"HALE (Healthy life expectancy)","Hampshire","Male","<1 year",2001,67.95573472,70.41206318,65.02036674
"HALE (Healthy life expectancy)","Hampshire","Female","<1 year",2001,69.88715444,72.86903966,66.48402058
"HALE (Healthy life expectancy)","Hampshire","Both","<1 year",2001,68.97620771,71.64171129,65.79599183
"HALE (Healthy life expectancy)","West Sussex","Male","<1 year",2001,67.80550042,70.26420994,64.89127874
"HALE (Healthy life expectancy)","West Sussex","Female","<1 year",2001,69.63678506,72.60303894,66.30199581
"HALE (Healthy life expectancy)","West Sussex","Both","<1 year",2001,68.79494874,71.51849989,65.65206005
"HALE (Healthy life expectancy)","Oxfordshire","Male","<1 year",2001,67.83243008,70.31093833,64.98972526
"HALE (Healthy life expectancy)","Oxfordshire","Female","<1 year",2001,69.98034231,72.96923701,66.61831553
"HALE (Healthy life expectancy)","Oxfordshire","Both","<1 year",2001,68.95479485,71.70043562,65.88121992
"HALE (Healthy life expectancy)","Kent","Male","<1 year",2001,67.1311906,69.57554924,64.36304634
"HALE (Healthy life expectancy)","Kent","Female","<1 year",2001,69.47921878,72.4601852,66.0962104
"HALE (Healthy life expectancy)","Kent","Both","<1 year",2001,68.35809607,71.05284965,65.2576081
"HALE (Healthy life expectancy)","East Sussex","Male","<1 year",2001,67.35897894,69.77652516,64.48364691
"HALE (Healthy life expectancy)","East Sussex","Female","<1 year",2001,69.92355462,72.82992366,66.55421444
"HALE (Healthy life expectancy)","East Sussex","Both","<1 year",2001,68.71507274,71.39251842,65.5458512
"HALE (Healthy life expectancy)","Devon","Male","<1 year",2001,67.86347363,70.23168033,64.99822278
"HALE (Healthy life expectancy)","Devon","Female","<1 year",2001,70.23896989,73.24761743,66.73643307
"HALE (Healthy life expectancy)","Devon","Both","<1 year",2001,69.10455678,71.78375652,65.93654004
"HALE (Healthy life expectancy)","Gloucestershire","Male","<1 year",2001,67.58352882,69.99811504,64.61907709
"HALE (Healthy life expectancy)","Gloucestershire","Female","<1 year",2001,69.89666333,72.93959767,66.46829134
"HALE (Healthy life expectancy)","Gloucestershire","Both","<1 year",2001,68.79319811,71.52695316,65.61310465
"HALE (Healthy life expectancy)","Somerset","Male","<1 year",2001,67.7186762,70.20741724,64.8313932
"HALE (Healthy life expectancy)","Somerset","Female","<1 year",2001,69.77579945,72.75946983,66.40942832
"HALE (Healthy life expectancy)","Somerset","Both","<1 year",2001,68.8009253,71.52221184,65.6969976
"HALE (Healthy life expectancy)","Suffolk","Male","<1 year",1997,66.86873032,69.242307,64.00909062
"HALE (Healthy life expectancy)","Suffolk","Female","<1 year",1997,69.44874111,72.35745122,66.09029327
"HALE (Healthy life expectancy)","Suffolk","Both","<1 year",1997,68.18679324,70.81887399,65.10825935
"HALE (Healthy life expectancy)","Essex","Male","<1 year",1997,66.87230079,69.23209103,64.14647886
"HALE (Healthy life expectancy)","Essex","Female","<1 year",1997,69.07716218,71.92323472,65.76568662
"HALE (Healthy life expectancy)","Essex","Both","<1 year",1997,68.02585999,70.63393735,64.95496546
"HALE (Healthy life expectancy)","Cambridgeshire","Male","<1 year",1997,67.01742903,69.38817588,64.15959701
"HALE (Healthy life expectancy)","Cambridgeshire","Female","<1 year",1997,69.18945319,72.03527715,65.7578685
"HALE (Healthy life expectancy)","Cambridgeshire","Both","<1 year",1997,68.14891616,70.74337642,64.99993368
"HALE (Healthy life expectancy)","South East England","Male","<1 year",2002,67.589556,70.04010466,64.67831336
"HALE (Healthy life expectancy)","South East England","Female","<1 year",2002,69.70731385,72.64743713,66.31714247
"HALE (Healthy life expectancy)","South East England","Both","<1 year",2002,68.7013599,71.38510007,65.57734961
"HALE (Healthy life expectancy)","Hampshire","Male","<1 year",2017,69.80198354,72.68096695,66.47369564
"HALE (Healthy life expectancy)","Hampshire","Female","<1 year",2017,70.89292583,74.1585516,67.08221525
"HALE (Healthy life expectancy)","Hampshire","Both","<1 year",2017,70.36207004,73.41182208,66.84079602
"HALE (Healthy life expectancy)","West Sussex","Male","<1 year",2017,69.13066801,71.81255205,65.98394891
"HALE (Healthy life expectancy)","West Sussex","Female","<1 year",2017,70.60212955,73.80086974,66.89442267
"HALE (Healthy life expectancy)","West Sussex","Both","<1 year",2017,69.8916936,72.82061446,66.48032527
"HALE (Healthy life expectancy)","Oxfordshire","Male","<1 year",2017,70.28103562,73.15317239,66.96971666
"HALE (Healthy life expectancy)","Oxfordshire","Female","<1 year",2017,71.17152393,74.41949286,67.66213981
"HALE (Healthy life expectancy)","Oxfordshire","Both","<1 year",2017,70.74550483,73.72025285,67.34458834
"HALE (Healthy life expectancy)","Kent","Male","<1 year",2017,68.74109188,71.5077365,65.54853544
